task,agent_b_final_patch,agent_d_full_trajectory,outcome
challenge_001,2/2 solve,2/2 solve,tie
challenge_002,0/2 solve,2/2 solve,D wins
challenge_003,2/2 solve,2/2 solve,tie
challenge_004,2/2 solve,2/2 solve,tie
challenge_005,2/2 solve,2/2 solve,tie
challenge_006,0/2 solve,1/2 solve,D wins
challenge_007,2/2 solve,2/2 solve,tie
challenge_008,1/2 solve,2/2 solve,D wins
challenge_009,2/2 solve,2/2 solve,tie
challenge_010,2/2 solve,2/2 solve,tie
challenge_011,2/2 solve,2/2 solve,tie
challenge_012,2/2 solve,2/2 solve,tie
challenge_013,2/2 solve,2/2 solve,tie
challenge_014,2/2 solve,2/2 solve,tie
challenge_015,2/2 solve,2/2 solve,tie
challenge_016,0/2 solve,0/2 solve,neither
challenge_017,2/2 solve,2/2 solve,tie
challenge_018,2/2 solve,1/2 solve,B wins
challenge_019,2/2 solve,2/2 solve,tie
challenge_020,2/2 solve,2/2 solve,tie
challenge_021,2/2 solve,2/2 solve,tie
challenge_022,2/2 solve,2/2 solve,tie
challenge_023,2/2 solve,2/2 solve,tie
challenge_024,1/2 solve,2/2 solve,D wins
challenge_025,2/2 solve,2/2 solve,tie
challenge_026,2/2 solve,2/2 solve,tie
challenge_027,2/2 solve,2/2 solve,tie
challenge_028,1/2 solve,1/2 solve,tie
challenge_029,2/2 solve,2/2 solve,tie
challenge_030,2/2 solve,2/2 solve,tie
