task_id,difficulty,bug_type,category,summary
challenge_001,medium,edge_case,edge cases,The function `normalize_username` currently accepts usernames with leading or trailing spaces by stripping them before validation. That behavior is incorrect.
challenge_002,medium,multi_file,multi-file bugs,"Environment overrides in `load_settings` are not consistently parsed. Some values stay as strings, some bypass the shared parser helpers, and blank values should not overwrite defaults."
challenge_003,medium,misleading_obvious_fix,misleading obvious fixes,"`preview_text` adds an ellipsis when truncating, but the current implementation uses the requested limit incorrectly."
challenge_004,hard,state_mutation,state mutation bugs,"`merge_preferences` returns the right shape, but it mutates nested state from the defaults input while building the result."
challenge_005,hard,hidden_edge_case,hidden edge cases,`parse_host_port` works for simple hostnames but mishandles bracketed IPv6 addresses.
challenge_006,hard,type_or_format,type or format,"`format_price` currently rounds by converting through `float`, which produces the wrong result for some decimal values."
challenge_007,medium,public_api_preservation,public API preservation,`build_headers` is returning a mutated copy of the caller-provided `extra` mapping and uses the token in the wrong authorization format.
challenge_008,hard,regression_trap,regression traps,`recent_unique` should keep the most recent occurrence of each item while preserving the chronological order of the kept items. The current implementation keeps the earliest occurrence instead.
challenge_009,medium,minimal_patch,minimal patch,`resolve_timeout` treats `0` as if the caller had not provided a value. That is incorrect: `0` is a valid explicit timeout.
challenge_010,hard,dependency_or_config_behavior,dependency/config behavior,"`load_backend` uses a config value to import a backend implementation, but short backend names such as `memory` should resolve to the package-local backend modules. Unknown backends should raise `ValueError` instead of leaking import errors."
challenge_011,medium,edge_case,edge cases,`split_batches` should reject non-positive batch sizes. The current implementation quietly returns incorrect output for `size == 0` and negative sizes.
challenge_012,medium,edge_case,edge cases,`previous_month` does not handle the January rollover correctly. It currently stays in January instead of returning December of the previous year.
challenge_013,medium,edge_case,edge cases,"`format_port_range` should render a singleton range as a single port. The current implementation always returns `start-end`, even when both ends are the same port."
challenge_014,hard,multi_file,multi-file bugs,The timeout key rename from `timeout` to `connect_timeout` is only partially applied. The helper still returns the old key and the request builder still looks up the old key.
challenge_015,hard,multi_file,multi-file bugs,"Tag normalization is inconsistent across files. `parse_tags` leaves whitespace and empty entries intact, and `normalize_tag_list` bypasses the shared parser helper entirely."
challenge_016,hard,multi_file,multi-file bugs,"Alias normalization is inconsistent across files. The helper keeps untrimmed targets, and the resolver rebuilds its own lookup instead of using the shared normalization path."
challenge_017,medium,misleading_obvious_fix,misleading obvious fixes,`render_preview` should never exceed the requested character limit. The obvious slice-only fix is incomplete because very small limits cannot fit an ellipsis.
challenge_018,medium,misleading_obvious_fix,misleading obvious fixes,"`join_url` is collapsing every double slash, which also corrupts the `http://` and `https://` scheme separator. The fix needs to normalize boundaries without rewriting the scheme."
challenge_019,hard,misleading_obvious_fix,misleading obvious fixes,`split_csv_line` uses a naive comma split. The bug is not just whitespace trimming: quoted commas must stay inside the same field.
challenge_020,medium,state_mutation,state mutation bugs,`collect_recent` mutates the caller-provided history list. It should behave like a pure helper and return the recent view without changing the original list.
challenge_021,hard,state_mutation,state mutation bugs,`merge_preferences` mutates nested dictionaries from the base configuration. The merged result should be a new structure that leaves the original inputs unchanged.
challenge_022,hard,state_mutation,state mutation bugs,`take_ready_events` currently removes items from the input list as it collects the ready prefix. The function should return the ready events without mutating the caller's list.
challenge_023,medium,hidden_edge_case,hidden edge cases,`parent_domain` mishandles fully-qualified hostnames with a trailing dot. The trailing dot should not leak into the parent domain result.
challenge_024,medium,hidden_edge_case,hidden edge cases,"`flatten_once` should flatten lists and tuples, but it should not explode strings or bytes into character-level output."
challenge_025,medium,hidden_edge_case,hidden edge cases,`split_qualified_name` currently splits on the first dot. Qualified names with nested modules should split on the final dot instead.
challenge_026,medium,public_api_preservation,public API preservation,"`build_report` treats entries without an explicit `archived` flag as archived. Missing flags should behave like active entries, and the public function signature must stay unchanged."
challenge_027,medium,public_api_preservation,public API preservation,"`build_auth_header` should reject blank tokens after trimming and return a header without stray whitespace, while preserving the public API and default scheme."
challenge_028,hard,regression_trap,regression traps,`join_segments` drops the leading root marker when the first segment is empty. The fix needs to preserve absolute paths without introducing duplicate separators.
challenge_029,hard,regression_trap,regression traps,`collapse_blank_lines` loses the trailing newline whenever it normalizes a text block. The fix needs to preserve the previous no-extra-newline behavior for inputs that did not end with a newline.
challenge_030,hard,dependency_or_config_behavior,dependency/config behavior,"`load_endpoint` uses environment configuration even when an explicit endpoint is provided, and blank environment values still override the default path. Explicit configuration should win over environment configuration."
