task,bug_type,b_solves,b_total,d_solves,d_total,b_applied,d_applied,comparison
challenge_001,edge_case,2,2,2,2,2,2,tie
challenge_002,multi_file,0,2,2,2,2,2,D_win
challenge_003,misleading_obvious_fix,2,2,2,2,2,2,tie
challenge_004,state_mutation,2,2,2,2,2,2,tie
challenge_005,hidden_edge_case,2,2,2,2,2,2,tie
challenge_006,type_or_format,0,2,1,2,1,2,D_win
challenge_007,public_api_preservation,2,2,2,2,2,2,tie
challenge_008,regression_trap,1,2,2,2,1,2,D_win
challenge_009,minimal_patch,2,2,2,2,2,2,tie
challenge_010,dependency_or_config_behavior,2,2,2,2,2,2,tie
challenge_011,edge_case,2,2,2,2,2,2,tie
challenge_012,edge_case,2,2,2,2,2,2,tie
challenge_013,edge_case,2,2,2,2,2,2,tie
challenge_014,multi_file,2,2,2,2,2,2,tie
challenge_015,multi_file,2,2,2,2,2,2,tie
challenge_016,multi_file,0,2,0,2,2,2,neither
challenge_017,misleading_obvious_fix,2,2,2,2,2,2,tie
challenge_018,misleading_obvious_fix,2,2,1,2,2,2,B_win
challenge_019,misleading_obvious_fix,2,2,2,2,2,2,tie
challenge_020,state_mutation,2,2,2,2,2,2,tie
challenge_021,state_mutation,2,2,2,2,2,2,tie
challenge_022,state_mutation,2,2,2,2,2,2,tie
challenge_023,hidden_edge_case,2,2,2,2,2,2,tie
challenge_024,hidden_edge_case,1,2,2,2,1,2,D_win
challenge_025,hidden_edge_case,2,2,2,2,2,2,tie
challenge_026,public_api_preservation,2,2,2,2,2,2,tie
challenge_027,public_api_preservation,2,2,2,2,2,2,tie
challenge_028,regression_trap,1,2,1,2,2,2,tie
challenge_029,regression_trap,2,2,2,2,2,2,tie
challenge_030,dependency_or_config_behavior,2,2,2,2,2,2,tie
