rep,condition,status,count
rep_01,agent_a,ok,10
rep_01,agent_a,ok_repaired_edits_dict_to_list,0
rep_01,agent_a,invalid_json,0
rep_01,agent_a,invalid_schema,0
rep_01,agent_a,no_edits,0
rep_01,agent_a,rejected,0
rep_01,agent_a,no_effective_changes,0
rep_01,agent_b,ok,8
rep_01,agent_b,ok_repaired_edits_dict_to_list,0
rep_01,agent_b,invalid_json,0
rep_01,agent_b,invalid_schema,0
rep_01,agent_b,no_edits,1
rep_01,agent_b,rejected,0
rep_01,agent_b,no_effective_changes,1
rep_01,agent_c,ok,10
rep_01,agent_c,ok_repaired_edits_dict_to_list,0
rep_01,agent_c,invalid_json,0
rep_01,agent_c,invalid_schema,0
rep_01,agent_c,no_edits,0
rep_01,agent_c,rejected,0
rep_01,agent_c,no_effective_changes,0
rep_02,agent_a,ok,8
rep_02,agent_a,ok_repaired_edits_dict_to_list,0
rep_02,agent_a,invalid_json,0
rep_02,agent_a,invalid_schema,0
rep_02,agent_a,no_edits,2
rep_02,agent_a,rejected,0
rep_02,agent_a,no_effective_changes,0
rep_02,agent_b,ok,7
rep_02,agent_b,ok_repaired_edits_dict_to_list,0
rep_02,agent_b,invalid_json,0
rep_02,agent_b,invalid_schema,2
rep_02,agent_b,no_edits,0
rep_02,agent_b,rejected,0
rep_02,agent_b,no_effective_changes,1
rep_02,agent_c,ok,10
rep_02,agent_c,ok_repaired_edits_dict_to_list,0
rep_02,agent_c,invalid_json,0
rep_02,agent_c,invalid_schema,0
rep_02,agent_c,no_edits,0
rep_02,agent_c,rejected,0
rep_02,agent_c,no_effective_changes,0
rep_03,agent_a,ok,7
rep_03,agent_a,ok_repaired_edits_dict_to_list,0
rep_03,agent_a,invalid_json,1
rep_03,agent_a,invalid_schema,1
rep_03,agent_a,no_edits,1
rep_03,agent_a,rejected,0
rep_03,agent_a,no_effective_changes,0
rep_03,agent_b,ok,9
rep_03,agent_b,ok_repaired_edits_dict_to_list,0
rep_03,agent_b,invalid_json,1
rep_03,agent_b,invalid_schema,0
rep_03,agent_b,no_edits,0
rep_03,agent_b,rejected,0
rep_03,agent_b,no_effective_changes,0
rep_03,agent_c,ok,9
rep_03,agent_c,ok_repaired_edits_dict_to_list,0
rep_03,agent_c,invalid_json,0
rep_03,agent_c,invalid_schema,1
rep_03,agent_c,no_edits,0
rep_03,agent_c,rejected,0
rep_03,agent_c,no_effective_changes,0
rep_04,agent_a,ok,8
rep_04,agent_a,ok_repaired_edits_dict_to_list,0
rep_04,agent_a,invalid_json,0
rep_04,agent_a,invalid_schema,0
rep_04,agent_a,no_edits,1
rep_04,agent_a,rejected,0
rep_04,agent_a,no_effective_changes,1
rep_04,agent_b,ok,8
rep_04,agent_b,ok_repaired_edits_dict_to_list,0
rep_04,agent_b,invalid_json,0
rep_04,agent_b,invalid_schema,0
rep_04,agent_b,no_edits,2
rep_04,agent_b,rejected,0
rep_04,agent_b,no_effective_changes,0
rep_04,agent_c,ok,9
rep_04,agent_c,ok_repaired_edits_dict_to_list,0
rep_04,agent_c,invalid_json,0
rep_04,agent_c,invalid_schema,1
rep_04,agent_c,no_edits,0
rep_04,agent_c,rejected,0
rep_04,agent_c,no_effective_changes,0
rep_05,agent_a,ok,8
rep_05,agent_a,ok_repaired_edits_dict_to_list,0
rep_05,agent_a,invalid_json,0
rep_05,agent_a,invalid_schema,0
rep_05,agent_a,no_edits,2
rep_05,agent_a,rejected,0
rep_05,agent_a,no_effective_changes,0
rep_05,agent_b,ok,9
rep_05,agent_b,ok_repaired_edits_dict_to_list,0
rep_05,agent_b,invalid_json,0
rep_05,agent_b,invalid_schema,1
rep_05,agent_b,no_edits,0
rep_05,agent_b,rejected,0
rep_05,agent_b,no_effective_changes,0
rep_05,agent_c,ok,10
rep_05,agent_c,ok_repaired_edits_dict_to_list,0
rep_05,agent_c,invalid_json,0
rep_05,agent_c,invalid_schema,0
rep_05,agent_c,no_edits,0
rep_05,agent_c,rejected,0
rep_05,agent_c,no_effective_changes,0
