rep,task,condition,json_valid,status,patch_applied,verified_solve,false_completion,failure_type,recovery_observed,trajectory_use_observed,evidence,notes
rep_01,challenge_001,agent_a,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_001,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_001,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_001,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,No differential trajectory advantage is isolated on challenge_001
rep_01,challenge_002,agent_a,true,ok,true,true,false,,,,,
rep_01,challenge_002,agent_b,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_002,agent_c,true,ok,true,false,true,tests_failed,,,,
rep_01,challenge_002,agent_d,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_003,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,false,false,no verified recovery signal in retained artifact,Instruction-only baseline ended with no effective change on challenge_003
rep_01,challenge_003,agent_b,true,ok,true,false,true,tests_failed,false,false,false completion with tests_failed and no retained recovery trace,Final-patch baseline applied a patch but did not verify the fix on challenge_003
rep_01,challenge_003,agent_c,true,ok,false,false,,patch_did_not_apply,false,false,patch did not apply and no verified recovery signal is retained,Verified-lessons condition did not convert challenge_003 into a working patch
rep_01,challenge_003,agent_d,true,ok,true,true,false,,true,true,used failed-attempt/verifier pattern to avoid shallow truncation fix,Agent D uniquely solved this replicate while Agents A B and C failed on challenge_003
rep_01,challenge_004,agent_a,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_004,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_004,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_004,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,Tie with final-patch baseline on challenge_004
rep_01,challenge_005,agent_a,true,no_effective_changes,false,false,,patch_did_not_apply,,,,
rep_01,challenge_005,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_005,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_005,agent_d,true,ok,true,true,false,,false,false,solved but Agent B also solved this replicate,Tie with final-patch baseline on challenge_005
rep_01,challenge_006,agent_a,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_006,agent_b,true,ok,true,true,false,,,,,
rep_01,challenge_006,agent_c,true,ok,false,false,,patch_did_not_apply,,,,
rep_01,challenge_006,agent_d,true,ok,true,false,true,tests_failed,,,,
