rep,task,condition,json_valid,schema_usable,patch_applied,verified_solve,false_completion,status
rep_01,challenge_001,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_002,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_003,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_004,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_005,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_006,agent_d_shuffled,True,True,True,False,True,ok
rep_01,challenge_007,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_008,agent_d_shuffled,True,True,True,False,True,ok
rep_01,challenge_009,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_010,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_011,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_012,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_013,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_014,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_015,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_016,agent_d_shuffled,True,True,True,False,True,ok
rep_01,challenge_017,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_018,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_019,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_020,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_021,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_022,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_023,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_024,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_025,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_026,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_027,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_028,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_029,agent_d_shuffled,True,True,True,True,False,ok
rep_01,challenge_030,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_001,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_002,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_003,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_004,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_005,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_006,agent_d_shuffled,True,True,True,False,True,ok
rep_02,challenge_007,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_008,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_009,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_010,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_011,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_012,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_013,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_014,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_015,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_016,agent_d_shuffled,True,True,True,False,True,ok
rep_02,challenge_017,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_018,agent_d_shuffled,True,True,True,False,True,ok
rep_02,challenge_019,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_020,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_021,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_022,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_023,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_024,agent_d_shuffled,False,False,False,False,False,invalid_json
rep_02,challenge_025,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_026,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_027,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_028,agent_d_shuffled,True,True,True,False,True,ok
rep_02,challenge_029,agent_d_shuffled,True,True,True,True,False,ok
rep_02,challenge_030,agent_d_shuffled,True,True,True,True,False,ok
